Date,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2001-06-10,17932.1,16076.3,1855.8,52.73,10.35
2001-06-11,17932.1,16076.3,1855.8,52.73,10.35
2001-06-12,17932.1,16076.3,1855.8,52.73,10.35
2001-06-13,17932.1,16076.3,1855.8,52.73,10.35
2001-06-14,17932.1,16076.3,1855.8,52.73,10.35
2001-06-15,17932.1,16076.3,1855.8,52.73,10.35
2001-06-16,17932.1,16076.3,1855.8,52.73,10.35
2001-06-17,17932.1,16076.3,1855.8,52.73,10.35
2001-06-18,17932.1,16076.3,1855.8,52.73,10.35
2001-06-19,17932.1,16076.3,1855.8,52.73,10.35
2001-06-20,17932.1,16076.3,1855.8,52.73,10.35
2001-06-21,17932.1,16076.3,1855.8,52.73,10.35
2001-06-22,17932.1,16076.3,1855.8,52.73,10.35
2001-06-23,17932.1,16076.3,1855.8,52.73,10.35
2001-06-24,17932.1,16076.3,1855.8,52.73,10.35
2001-06-25,17932.1,16076.3,1855.8,52.73,10.35
2001-06-26,17932.1,16076.3,1855.8,52.73,10.35
2001-06-27,17932.1,16076.3,1855.8,52.73,10.35
2001-06-28,17932.1,16076.3,1855.8,52.73,10.35
2001-06-29,17932.1,16076.3,1855.8,52.73,10.35
2001-06-30,17932.1,16076.3,1855.8,52.73,10.35
2001-07-01,18164.0,16294.3,1869.7,53.22,10.29
2001-07-02,18164.0,16294.3,1869.7,53.22,10.29
2001-07-03,18164.0,16294.3,1869.7,53.22,10.29
2001-07-04,18164.0,16294.3,1869.7,53.22,10.29
2001-07-05,18164.0,16294.3,1869.7,53.22,10.29
2001-07-06,18164.0,16294.3,1869.7,53.22,10.29
2001-07-07,18164.0,16294.3,1869.7,53.22,10.29
2001-07-08,18164.0,16294.3,1869.7,53.22,10.29
2001-07-09,18164.0,16294.3,1869.7,53.22,10.29
2001-07-10,18164.0,16294.3,1869.7,53.22,10.29
2001-07-11,18164.0,16294.3,1869.7,53.22,10.29
2001-07-12,18164.0,16294.3,1869.7,53.22,10.29
2001-07-13,18164.0,16294.3,1869.7,53.22,10.29
2001-07-14,18164.0,16294.3,1869.7,53.22,10.29
2001-07-15,18164.0,16294.3,1869.7,53.22,10.29
2001-07-16,18164.0,16294.3,1869.7,53.22,10.29
2001-07-17,18164.0,16294.3,1869.7,53.22,10.29
2001-07-18,18164.0,16294.3,1869.7,53.22,10.29
2001-07-19,18164.0,16294.3,1869.7,53.22,10.29
2001-07-20,18164.0,16294.3,1869.7,53.22,10.29
2001-07-21,18164.0,16294.3,1869.7,53.22,10.29
2001-07-22,18164.0,16294.3,1869.7,53.22,10.29
2001-07-23,18164.0,16294.3,1869.7,53.22,10.29
2001-07-24,18164.0,16294.3,1869.7,53.22,10.29
2001-07-25,18164.0,16294.3,1869.7,53.22,10.29
2001-07-26,18164.0,16294.3,1869.7,53.22,10.29
2001-07-27,18164.0,16294.3,1869.7,53.22,10.29
2001-07-28,18164.0,16294.3,1869.7,53.22,10.29
2001-07-29,18164.0,16294.3,1869.7,53.22,10.29
2001-07-30,18164.0,16294.3,1869.7,53.22,10.29
2001-07-31,18164.0,16294.3,1869.7,53.22,10.29
2001-08-01,18164.0,16294.3,1869.7,53.22,10.29
2001-08-02,18164.0,16294.3,1869.7,53.22,10.29
2001-08-03,18164.0,16294.3,1869.7,53.22,10.29
2001-08-04,18164.0,16294.3,1869.7,53.22,10.29
2001-08-05,18164.0,16294.3,1869.7,53.22,10.29
2001-08-06,18164.0,16294.3,1869.7,53.22,10.29
2001-08-07,18164.0,16294.3,1869.7,53.22,10.29
2001-08-08,18164.0,16294.3,1869.7,53.22,10.29
2001-08-09,18164.0,16294.3,1869.7,53.22,10.29
