Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt,Debt_per_capita,Defunciones,Euribor,GDP_Value,High_DJ,High_EURO,High_y,IPC,Low_DJ,Low_EURO,Low_y,Ocupados,Open_DJ,Open_EURO,Open_y,Parados,Paro(%),Percentage,Price_EURO
2008-10-01,60.35,23262.1,11182.488281,1420.0,11182.5,10831.07,387382.0,8424.0,6.539,5.2478,-1.6272,11022.06,1.4176,11182.5,0.3,10495.99,1.3976,10956.599609,20055.3,10772.69,1.4124,11064.299805,3206.8,13.79,34.93,1.4021
2008-10-02,60.35,23262.1,11002.289063,1420.0,11002.299805,10482.85,387382.0,8424.0,6.539,5.2478,-1.6272,10843.1,1.4027,11364.400391,0.3,10368.08,1.3745,10978.900391,20055.3,10750.62,1.4026,11186.099609,3206.8,13.79,34.93,1.3818
2008-10-03,60.35,23262.1,11418.488281,1420.0,11418.5,10325.38,387382.0,8424.0,6.539,5.2478,-1.6272,10844.69,1.3907,11441.5,0.3,10261.75,1.3704,10964.700195,20055.3,10549.04,1.3818,11047.400391,3206.8,13.79,34.93,1.3771
2008-10-06,60.35,23262.1,10725.989258,1420.0,10726.0,9955.5,387382.0,8424.0,7.096,5.2478,-1.6272,10249.85,1.3676,11214.5,0.3,9503.1,1.3443,10710.900391,20055.3,10035.23,1.3665,11210.200195,3206.8,13.79,34.93,1.349
2008-10-07,60.35,23262.1,10861.989258,1420.0,10862.0,9447.11,387382.0,8424.0,7.096,5.2478,-1.6272,10205.04,1.3741,11128.799805,0.3,9391.67,1.3481,10644.299805,20055.3,10030.69,1.3486,10935.700195,3206.8,13.79,34.93,1.3619
2008-10-08,60.35,23262.1,10297.588867,1420.0,10297.599609,9258.1,387382.0,8424.0,7.096,5.2478,-1.6272,9778.04,1.3758,10905.5,0.3,9042.97,1.3544,10155.0,20055.3,9178.85,1.363,10612.299805,3206.8,13.79,34.93,1.363
2008-10-09,60.35,23262.1,9902.890625,1420.0,9902.900391,8579.19,387382.0,8424.0,7.096,5.2478,-1.6272,9522.77,1.3785,10535.799805,0.3,8523.27,1.358,9820.5,20055.3,9381.96,1.3631,10411.900391,3206.8,13.79,34.93,1.3597
2008-10-10,60.35,23262.1,8997.691406,1420.0,8997.700195,8451.19,387382.0,8424.0,7.096,5.2478,-1.6272,8989.13,1.3652,9462.299805,0.3,7773.71,1.3259,8835.0,20055.3,8225.95,1.3589,9443.099609,3206.8,13.79,34.93,1.3414
2008-10-13,60.35,23262.1,9955.69043,1420.0,9955.700195,9387.61,387382.0,8424.0,7.047,5.2478,-1.6272,9501.91,1.3683,9955.700195,0.3,8638.6,1.3458,9357.200195,20055.3,8871.97,1.3559,9559.299805,3206.8,13.79,34.93,1.3593
2008-10-14,60.35,23262.1,10224.489258,1420.0,10224.5,9310.99,387382.0,8424.0,7.047,5.2478,-1.6272,9924.28,1.3771,10573.099609,0.3,9050.06,1.3586,10032.200195,20055.3,9861.28,1.3594,10308.599609,3206.8,13.79,34.93,1.3624
