Date,Total_debt,Debt_GDP_percentage,Debt_per_capita
1994-07-19,249508.0,58.68,6294.0
1994-07-20,249508.0,58.68,6294.0
1994-07-21,249508.0,58.68,6294.0
1994-07-22,249508.0,58.68,6294.0
1994-07-23,249508.0,58.68,6294.0
1994-07-24,249508.0,58.68,6294.0
1994-07-25,249508.0,58.68,6294.0
1994-07-26,249508.0,58.68,6294.0
1994-07-27,249508.0,58.68,6294.0
1994-07-28,249508.0,58.68,6294.0
1994-07-29,249508.0,58.68,6294.0
1994-07-30,249508.0,58.68,6294.0
1994-07-31,249508.0,58.68,6294.0
1994-08-01,249508.0,58.68,6294.0
1994-08-02,249508.0,58.68,6294.0
1994-08-03,249508.0,58.68,6294.0
1994-08-04,249508.0,58.68,6294.0
1994-08-05,249508.0,58.68,6294.0
1994-08-06,249508.0,58.68,6294.0
1994-08-07,249508.0,58.68,6294.0
1994-08-08,249508.0,58.68,6294.0
1994-08-09,249508.0,58.68,6294.0
1994-08-10,249508.0,58.68,6294.0
1994-08-11,249508.0,58.68,6294.0
1994-08-12,249508.0,58.68,6294.0
1994-08-13,249508.0,58.68,6294.0
1994-08-14,249508.0,58.68,6294.0
1994-08-15,249508.0,58.68,6294.0
1994-08-16,249508.0,58.68,6294.0
1994-08-17,249508.0,58.68,6294.0
1994-08-18,249508.0,58.68,6294.0
1994-08-19,249508.0,58.68,6294.0
1994-08-20,249508.0,58.68,6294.0
1994-08-21,249508.0,58.68,6294.0
1994-08-22,249508.0,58.68,6294.0
1994-08-23,249508.0,58.68,6294.0
1994-08-24,249508.0,58.68,6294.0
1994-08-25,249508.0,58.68,6294.0
1994-08-26,249508.0,58.68,6294.0
1994-08-27,249508.0,58.68,6294.0
1994-08-28,249508.0,58.68,6294.0
1994-08-29,249508.0,58.68,6294.0
1994-08-30,249508.0,58.68,6294.0
1994-08-31,249508.0,58.68,6294.0
1994-09-01,249508.0,58.68,6294.0
1994-09-02,249508.0,58.68,6294.0
1994-09-03,249508.0,58.68,6294.0
1994-09-04,249508.0,58.68,6294.0
1994-09-05,249508.0,58.68,6294.0
1994-09-06,249508.0,58.68,6294.0
1994-09-07,249508.0,58.68,6294.0
1994-09-08,249508.0,58.68,6294.0
1994-09-09,249508.0,58.68,6294.0
1994-09-10,249508.0,58.68,6294.0
1994-09-11,249508.0,58.68,6294.0
1994-09-12,249508.0,58.68,6294.0
1994-09-13,249508.0,58.68,6294.0
1994-09-14,249508.0,58.68,6294.0
1994-09-15,249508.0,58.68,6294.0
1994-09-16,249508.0,58.68,6294.0
1994-09-17,249508.0,58.68,6294.0
1994-09-18,249508.0,58.68,6294.0
1994-09-19,249508.0,58.68,6294.0
1994-09-20,249508.0,58.68,6294.0
1994-09-21,249508.0,58.68,6294.0
1994-09-22,249508.0,58.68,6294.0
1994-09-23,249508.0,58.68,6294.0
1994-09-24,249508.0,58.68,6294.0
1994-09-25,249508.0,58.68,6294.0
1994-09-26,249508.0,58.68,6294.0
1994-09-27,249508.0,58.68,6294.0
1994-09-28,249508.0,58.68,6294.0
1994-09-29,249508.0,58.68,6294.0
1994-09-30,249508.0,58.68,6294.0
1994-10-01,249508.0,58.68,6294.0
