Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2018-01-20,1.2222,1.2236,1.2296,1.2219
2018-01-21,1.2222,1.2236,1.2296,1.2219
2018-01-22,1.2262,1.2268,1.2276,1.2214
2018-01-23,1.2299,1.2263,1.2308,1.2223
2018-01-24,1.2408,1.2299,1.2417,1.2293
2018-01-25,1.2396,1.2408,1.2537,1.2364
2018-01-26,1.2421,1.2395,1.2495,1.2371
2018-01-27,1.2421,1.2395,1.2495,1.2371
2018-01-28,1.2421,1.2395,1.2495,1.2371
2018-01-29,1.2383,1.2427,1.2436,1.2336
2018-01-30,1.2402,1.2383,1.2455,1.2335
2018-01-31,1.2421,1.2401,1.2476,1.2386
2018-02-01,1.251,1.2414,1.2524,1.2386
2018-02-02,1.2462,1.2508,1.2519,1.2409
2018-02-03,1.2462,1.2508,1.2519,1.2409
2018-02-04,1.2462,1.2508,1.2519,1.2409
2018-02-05,1.2368,1.2455,1.2475,1.2362
2018-02-06,1.2377,1.2367,1.2434,1.2314
2018-02-07,1.2264,1.2378,1.2407,1.2247
2018-02-08,1.2247,1.2264,1.2297,1.2212
2018-02-09,1.2235,1.2245,1.2289,1.2206
2018-02-10,1.2235,1.2245,1.2289,1.2206
2018-02-11,1.2235,1.2245,1.2289,1.2206
2018-02-12,1.2292,1.2253,1.2298,1.2234
2018-02-13,1.2352,1.2293,1.2373,1.2285
2018-02-14,1.245,1.2352,1.2467,1.2276
2018-02-15,1.2506,1.2449,1.2511,1.2447
2018-02-16,1.2406,1.2506,1.2557,1.2394
2018-02-17,1.2406,1.2506,1.2557,1.2394
2018-02-18,1.2406,1.2506,1.2557,1.2394
2018-02-19,1.2408,1.2409,1.2435,1.2368
2018-02-20,1.2338,1.2409,1.2414,1.232
2018-02-21,1.2284,1.2338,1.2361,1.2281
2018-02-22,1.2331,1.2283,1.2354,1.226
2018-02-23,1.2293,1.2329,1.2337,1.2279
2018-02-24,1.2293,1.2329,1.2337,1.2279
2018-02-25,1.2293,1.2329,1.2337,1.2279
2018-02-26,1.2318,1.2299,1.2356,1.2278
2018-02-27,1.2232,1.2317,1.2348,1.2221
2018-02-28,1.2194,1.2232,1.2243,1.2188
2018-03-01,1.2268,1.2193,1.2272,1.2153
2018-03-02,1.2317,1.2266,1.2336,1.225
2018-03-03,1.2317,1.2266,1.2336,1.225
2018-03-04,1.2317,1.2266,1.2336,1.225
2018-03-05,1.2336,1.2323,1.2366,1.2268
2018-03-06,1.2404,1.2336,1.2422,1.2328
2018-03-07,1.2413,1.2404,1.2445,1.2385
2018-03-08,1.2312,1.2411,1.2448,1.2298
2018-03-09,1.2307,1.2312,1.2336,1.2273
2018-03-10,1.2307,1.2312,1.2336,1.2273
2018-03-11,1.2307,1.2312,1.2336,1.2273
2018-03-12,1.2334,1.2311,1.2347,1.2291
2018-03-13,1.239,1.2334,1.2408,1.2314
2018-03-14,1.2367,1.239,1.2414,1.2347
2018-03-15,1.2305,1.2366,1.2385,1.2299
2018-03-16,1.2289,1.2305,1.2338,1.2261
2018-03-17,1.2289,1.2305,1.2338,1.2261
2018-03-18,1.2289,1.2305,1.2338,1.2261
2018-03-19,1.2335,1.2284,1.2361,1.2258
2018-03-20,1.2242,1.2335,1.2356,1.2239
2018-03-21,1.2338,1.2242,1.2351,1.2241
2018-03-22,1.2302,1.2337,1.2389,1.2285
2018-03-23,1.2353,1.2302,1.2375,1.2301
2018-03-24,1.2353,1.2302,1.2375,1.2301
2018-03-25,1.2353,1.2302,1.2375,1.2301
2018-03-26,1.2443,1.2348,1.2463,1.2341
2018-03-27,1.2403,1.2444,1.2478,1.2373
2018-03-28,1.2308,1.2403,1.2424,1.23
2018-03-29,1.2302,1.2308,1.2335,1.2282
2018-03-30,1.2323,1.2301,1.2331,1.2293
2018-03-31,1.2323,1.2301,1.2331,1.2293
2018-04-01,1.2323,1.2301,1.2331,1.2293
2018-04-02,1.2302,1.2323,1.2346,1.2282
2018-04-03,1.227,1.2304,1.2336,1.2253
2018-04-04,1.2278,1.2269,1.2315,1.2256
2018-04-05,1.224,1.2278,1.2292,1.2218
2018-04-06,1.2283,1.224,1.2292,1.2214
2018-04-07,1.2283,1.224,1.2292,1.2214
