Date,Euribor,IPC,Price_EURO,Open_EURO,High_EURO,Low_EURO,Defunciones,Debt,Percentage,Debt_per_capita,Activos,Ocupados,Parados,Actividad(%),Paro(%),GDP_Value, Open_DJ, High_DJ, Low_DJ, Close_DJ,Open_y,High_y,Low_y,Close,AdjClose,Volume
2003-05-07,2.2521,-0.1,1.1357,1.1439,1.144,1.1329,6.69,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8585.42,8650.82,8494.86,8560.63,6550.5,6578.100098,6405.899902,6429.0,6428.993652,168200
2003-05-08,2.2521,-0.1,1.148,1.1356,1.1512,1.1309,6.69,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8558.67,8591.01,8435.61,8491.22,6441.100098,6448.600098,6293.899902,6300.5,6300.493652,147800
2003-05-09,2.2521,-0.1,1.1487,1.148,1.1538,1.1437,6.69,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8492.69,8637.58,8482.89,8604.6,6336.299805,6390.0,6259.899902,6387.799805,6387.793457,125400
2003-05-12,2.2521,-0.1,1.1563,1.1532,1.1626,1.1524,6.887,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8603.9,8764.12,8544.23,8726.73,6428.799805,6430.799805,6315.100098,6395.0,6394.993652,107400
2003-05-13,2.2521,-0.1,1.1522,1.1562,1.1569,1.1463,6.887,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8722.88,8757.4,8611.18,8679.25,6415.399902,6441.399902,6331.299805,6376.0,6375.993652,122600
2003-05-14,2.2521,-0.1,1.1486,1.1536,1.1538,1.1467,6.887,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8673.29,8744.94,8575.96,8647.82,6353.899902,6445.0,6346.799805,6363.399902,6363.393555,135400
2003-05-15,2.2521,-0.1,1.1383,1.1479,1.1489,1.1377,6.887,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8649.22,8766.57,8613.84,8713.14,6368.299805,6431.799805,6340.100098,6413.799805,6413.793457,92400
2003-05-16,2.2521,-0.1,1.1592,1.1376,1.1595,1.137,6.887,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8710.36,8766.36,8614.33,8678.97,6419.799805,6488.299805,6394.399902,6481.5,6481.493652,107200
2003-05-19,2.2521,-0.1,1.1655,1.1673,1.1741,1.1623,6.75,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8676.52,8647.81,8455.72,8493.39,6421.899902,6429.600098,6269.100098,6279.600098,6279.59375,111600
2003-05-20,2.2521,-0.1,1.1715,1.1643,1.1717,1.161,6.75,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8494.09,8593.6,8394.51,8491.36,6296.600098,6344.5,6234.5,6298.100098,6298.09375,116000
