Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt_per_capita,Defunciones,Euribor,GDP_Value,High,High_DJ,High_EUR,IPC,Low,Low_DJ,Low_EUR,Ocupados,Open,Open_DJ,Open_EUR,Parados,Paro(%),Percentage,Price_EUR,Total_debt
2005-06-30,57.86,21129.7,9783.19043,1277.0,9783.200195,10274.97,8941.0,1061.0,2.1028,0.8886,9815.5,10458.19,1.2123,0.2,9746.900391,10253.49,1.2043,19160.6,9760.799805,10374.18,1.2073,1969.1,9.32,42.4,1.2102,393479.0
2005-07-01,57.86,21205.6,9829.089844,1277.0,9829.099609,10303.44,8941.0,1061.0,2.168,0.9675,9829.099609,10380.78,1.2109,-0.6,9727.900391,10239.91,1.1942,19422.1,9731.0,10273.59,1.21,1783.5,8.41,42.4,1.1959,393479.0
2005-07-02,57.86,21205.6,9829.089844,1277.0,9829.099609,10303.44,8941.0,1061.0,2.168,0.9675,9829.099609,10380.78,1.2109,-0.6,9727.900391,10239.91,1.1942,19422.1,9731.0,10273.59,1.21,1783.5,8.41,42.4,1.1959,393479.0
2005-07-03,57.86,21205.6,9829.089844,1277.0,9829.099609,10303.44,8941.0,1061.0,2.168,0.9675,9829.099609,10380.78,1.2109,-0.6,9727.900391,10239.91,1.1942,19422.1,9731.0,10273.59,1.21,1783.5,8.41,42.4,1.1959,393479.0
2005-07-04,57.86,21205.6,9814.990234,1277.0,9815.0,10303.44,8941.0,1061.0,2.168,0.9675,9817.299805,10380.78,1.1951,-0.6,9789.400391,10239.91,1.1886,19422.1,9808.299805,10273.59,1.1934,1783.5,8.41,42.4,1.1902,393479.0
2005-07-05,57.86,21205.6,9807.390625,1277.0,9807.400391,10371.8,8941.0,1061.0,2.168,0.9675,9814.900391,10411.24,1.1943,-0.6,9766.099609,10252.03,1.187,19422.1,9805.799805,10303.13,1.1901,1783.5,8.41,42.4,1.1916,393479.0
2005-07-06,57.86,21205.6,9832.490234,1277.0,9832.5,10270.68,8941.0,1061.0,2.168,0.9675,9849.5,10413.23,1.1955,-0.6,9811.5,10242.21,1.1892,19422.1,9824.900391,10366.52,1.1917,1783.5,8.41,42.4,1.1932,393479.0
2005-07-07,57.86,21205.6,9644.390625,1277.0,9644.400391,10302.29,8941.0,1061.0,2.168,0.9675,9802.5,10337.84,1.2043,-0.6,9399.299805,10142.24,1.1909,19422.1,9799.700195,10269.76,1.1932,1783.5,8.41,42.4,1.1953,393479.0
2005-07-08,57.86,21205.6,9793.19043,1277.0,9793.200195,10449.14,8941.0,1061.0,2.168,0.9675,9794.700195,10486.5,1.1987,-0.6,9691.299805,10279.65,1.1873,19422.1,9742.299805,10302.9,1.1947,1783.5,8.41,42.4,1.1971,393479.0
2005-07-09,57.86,21205.6,9793.19043,1277.0,9793.200195,10449.14,8941.0,1061.0,2.168,0.9675,9794.700195,10486.5,1.1987,-0.6,9691.299805,10279.65,1.1873,19422.1,9742.299805,10302.9,1.1947,1783.5,8.41,42.4,1.1971,393479.0
2005-07-10,57.86,21205.6,9793.19043,1277.0,9793.200195,10449.14,8941.0,1061.0,2.168,0.9675,9794.700195,10486.5,1.1987,-0.6,9691.299805,10279.65,1.1873,19422.1,9742.299805,10302.9,1.1947,1783.5,8.41,42.4,1.1971,393479.0
2005-07-11,57.86,21205.6,9876.290039,1277.0,9876.299805,10519.72,8941.0,1061.0,2.168,0.9675,9878.700195,10570.67,1.2087,-0.6,9819.599609,10425.97,1.1957,19422.1,9831.099609,10449.6,1.1967,1783.5,8.41,42.4,1.2075,393479.0
2005-07-12,57.86,21205.6,9873.390625,1277.0,9873.400391,10513.89,8941.0,1061.0,2.168,0.9675,9904.200195,10583.02,1.2258,-0.6,9841.599609,10444.46,1.2052,19422.1,9904.200195,10519.49,1.2075,1783.5,8.41,42.4,1.2241,393479.0
2005-07-13,57.86,21205.6,9937.790039,1277.0,9937.799805,10557.39,8941.0,1061.0,2.168,0.9675,9938.599609,10596.98,1.2241,-0.6,9874.5,10481.36,1.2071,19422.1,9880.599609,10513.36,1.2241,1783.5,8.41,42.4,1.2094,393479.0
