Date,IPC,Open,High,Low,Close,AdjClose,GDP_Value,Euribor,Price_EUR,Open_EUR,High_EUR,Low_EUR,Open_DJ,High_DJ,Low_DJ,Close_DJ,Total_debt,Percentage,Debt_per_capita,Defunciones,Births,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2021-06-17,0.48,9178.799805,9272.0,9170.700195,9195.900391,9195.900391,2.0936,-0.4839,1.1906,1.1996,1.2007,1.1891,34014.38,34091.79,33626.61,33823.45,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-18,0.48,9166.299805,9185.400391,8976.400391,9030.599609,9030.599609,2.0936,-0.4839,1.186,1.1908,1.1926,1.1846,33622.7,33622.7,33271.93,33290.08,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-19,0.48,9166.299805,9185.400391,8976.400391,9030.599609,9030.599609,2.0936,-0.4839,1.186,1.1908,1.1926,1.1846,33622.7,33622.7,33271.93,33290.08,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-20,0.48,9166.299805,9185.400391,8976.400391,9030.599609,9030.599609,2.0936,-0.4839,1.186,1.1908,1.1926,1.1846,33622.7,33622.7,33271.93,33290.08,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-21,0.48,8970.099609,9063.200195,8906.0,9051.700195,9051.700195,2.0936,-0.4839,1.1915,1.1868,1.1922,1.1847,33312.07,33908.09,33312.07,33876.97,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-22,0.48,9073.700195,9073.700195,8998.799805,9053.299805,9053.299805,2.0936,-0.4839,1.1938,1.1918,1.1954,1.1881,33872.56,34040.7,33751.06,33945.58,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-23,0.48,9072.200195,9092.700195,8954.099609,8954.099609,8954.099609,2.0936,-0.4839,1.1925,1.1939,1.197,1.1911,33948.54,34009.4,33869.83,33874.24,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-24,0.48,9015.400391,9098.099609,8985.099609,9074.099609,9074.099609,2.0936,-0.4839,1.193,1.1927,1.1957,1.1918,33933.91,34233.02,33933.91,34196.82,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-25,0.48,9101.0,9107.200195,9034.599609,9095.0,9095.0,2.0936,-0.4839,1.1933,1.1932,1.1976,1.1925,34328.1,34501.02,34314.8,34433.84,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-26,0.48,9101.0,9107.200195,9034.599609,9095.0,9095.0,2.0936,-0.4839,1.1933,1.1932,1.1976,1.1925,34328.1,34501.02,34314.8,34433.84,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
